feature,gain,split
wind_knots,2013413.1327495575,59
slp_hpa_lag3,201925.60988426208,92
wind_mps,61385.98224258423,270
doy_cos,54077.49849510193,247
wind_knots_rollmean12,51410.93500328064,183
slp_hpa_lag2,48729.864908218384,85
slp_hpa_rollstd12,47745.91156768799,188
doy_sin,45557.99375915527,255
slp_hpa,44629.10901069641,118
wind_knots_rollstd6,43382.6233921051,155
dew_depression_rollstd6,42146.19690322876,107
dew_depression_lag12,41927.17446899414,149
temp_c_rollmean12,38843.610038757324,142
ceiling_m_rollmean6,37421.16772842407,69
dew_c_rollmean12,34453.12028503418,90
slp_delta_6h,34190.135580062866,167
wind_knots_rollstd12,31568.101135253906,173
dew_depression_rollstd3,30765.24786758423,124
hour_sin,30478.687351226807,134
slp_hpa_rollstd6,29617.390460968018,187
slp_hpa_rollmean3,26582.302856445312,84
wind_knots_rollmean3,25603.393033981323,147
slp_hpa_lag6,24936.208213806152,113
slp_hpa_lag12,24679.422578811646,177
temp_c_rollmean3,23700.589645385742,66
dew_c_rollstd12,23193.15633392334,175
temp_c_rollstd6,22556.472215652466,126
ceiling_m_rollmean12,21910.2924118042,115
temp_c_rollstd12,20672.452028274536,156
slp_hpa_rollstd3,20215.672857284546,176
wind_accel_1h,19309.840997695923,115
dew_depression,19249.748113632202,128
ceiling_m_rollstd6,19056.03844642639,86
wind_knots_lag12,19037.483949661255,106
dew_depression_lag3,18783.03609085083,84
slp_delta_3h,18778.710987091064,181
temp_c_lag6,17858.202501296997,69
wind_dir_cos,17741.50131225586,86
dew_c_rollstd6,17561.897035598755,155
wind_knots_lag1,17206.155437469482,136
dew_depression_rollmean3,16615.258613586426,62
lat,16515.42978668213,28
wind_knots_rollstd3,16330.131914138794,152
slp_hpa_rollmean12,16118.964082717896,159
wind_knots_lag2,15610.338785171509,63
temp_c_lag12,15202.687189102173,127
slp_hpa_lag1,15034.254106521606,99
wind_knots_rollmean6,14611.16318321228,130
dew_depression_rollstd12,14568.839122772217,142
temp_c_rollstd3,14545.407222747803,105
ceiling_m_rollstd12,11974.890634536743,123
temp_c_lag3,11128.360290527344,35
wind_dir_sin,10862.770977020264,105
slp_hpa_rollmean6,10184.611381530762,106
dew_c_rollmean3,10128.586608886719,50
lon,9900.886291503906,10
ceiling_m_lag2,9869.37439918518,32
temp_c,9730.520706176758,67
ceiling_m,9338.70539855957,64
vis_km_rollstd3,9078.392822265625,15
precip_mm_rollstd12,8847.325138092041,29
dew_depression_lag1,8651.646835327148,76
dew_c_lag12,8589.64123916626,90
temp_c_rollmean6,8466.655675888062,86
hour_cos,7881.406940460205,70
dew_depression_rollmean12,7640.489364624023,84
dew_depression_lag6,7417.607286453247,74
wind_knots_lag6,7133.839748382568,80
ceiling_m_rollmean3,6929.644584655762,73
dew_c_rollmean6,6900.246799468994,58
dew_depression_rollmean6,6884.506925582886,64
ceiling_m_rollstd3,6785.878782272339,73
vis_km_rollstd12,6764.054269790649,61
dew_c_rollstd3,6703.671550750732,70
dew_c_lag6,6641.860124588013,66
temp_c_lag1,6596.07130241394,53
wind_knots_lag3,5712.892845153809,55
dew_c,5549.0985107421875,58
temp_c_lag2,4862.08825302124,37
precip_mm_lag1,4407.183229446411,6
ceiling_m_lag1,4387.248832702637,34
ceiling_m_lag12,4184.217311859131,46
dew_c_lag3,4093.309597015381,46
vis_km,4054.4845180511475,26
dew_depression_lag2,3796.1912689208984,52
dew_c_lag2,3302.582437515259,28
precip_mm_rollmean12,3250.6950035095215,29
dew_c_lag1,2622.8490867614746,31
precip_mm_rollstd6,2579.1211891174316,29
ceiling_m_lag3,2431.1799030303955,25
ceiling_m_lag6,2384.3839015960693,23
vis_km_rollmean12,2344.529104232788,29
vis_km_rollstd6,2010.9430847167969,28
precip_mm_rollstd3,1939.6343002319336,15
vis_km_lag12,1514.5770835876465,16
vis_km_lag3,1301.6028003692627,10
precip_mm_lag6,1049.7982082366943,8
vis_m,1019.3974952697754,16
vis_km_rollmean6,954.1356945037842,14
precip_mm_rollmean6,946.9485015869141,13
precip_mm_lag2,887.8949890136719,2
vis_km_rollmean3,871.4060001373291,12
vis_km_lag1,829.3765964508057,10
precip_mm,774.965991973877,7
ceiling_unknown,664.9567031860352,6
vis_km_lag6,456.9994010925293,5
wind_spike,327.7880973815918,3
precip_mm_rollmean3,300.8163070678711,4
vis_km_lag2,287.74450302124023,6
precip_mm_lag3,253.84250450134277,4
precip_mm_lag12,46.87730026245117,1
elev_m,0.0,0
coastal,0.0,0
